Rank,Rating,Title,Review,Genre,URL
1,88%,Parasite (Gisaengchung) (2019),456,"['drama', 'mysteryandthriller', 'comedy']",https://www.rottentomatoes.com/m/parasite_2019
2,92%,Avengers: Endgame (2019),533,"['action', 'adventure', 'scifi', 'fantasy']",https://www.rottentomatoes.com/m/avengers_endgame
3,99%,Knives Out (2019),459,"['drama', 'mysteryandthriller', 'comedy', 'crime']",https://www.rottentomatoes.com/m/knives_out
4,100%,Us (2019),540,"['horror', 'mysteryandthriller']",https://www.rottentomatoes.com/m/us_2019
5,87%,Toy Story 4 (2019),447,"['adventure', 'kidsandfamily', 'animation', 'comedy', 'fantasy']",https://www.rottentomatoes.com/m/toy_story_4
6,80%,The Irishman (2019),445,"['drama', 'crime']",https://www.rottentomatoes.com/m/the_irishman
7,60%,Little Women (2019),414,['drama'],https://www.rottentomatoes.com/m/little_women_2019
8,55%,The Farewell (2019),335,"['drama', 'comedy']",https://www.rottentomatoes.com/m/the_farewell_2019
9,48%,Booksmart (2019),365,"['gayandlesbian', 'comedy']",https://www.rottentomatoes.com/m/booksmart
10,31%,A Beautiful Day in the Neighborhood (2019),366,"['drama', 'biography']",https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood
11,21%,Marriage Story (2019),385,"['drama', 'comedy']",https://www.rottentomatoes.com/m/marriage_story_2019
12,93%,Spider-Man: Far From Home (2019),445,"['action', 'adventure', 'comedy', 'fantasy']",https://www.rottentomatoes.com/m/spider_man_far_from_home
13,31%,If Beale Street Could Talk (2019),353,"['drama', 'crime', 'romance']",https://www.rottentomatoes.com/m/if_beale_street_could_talk
14,97%,Once Upon a Time In Hollywood (2019),559,"['drama', 'comedy']",https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood
15,100%,Pain and Glory (Dolor y gloria) (2019),292,['drama'],https://www.rottentomatoes.com/m/pain_and_glory
16,92%,Shazam! (2019),407,"['action', 'adventure', 'comedy', 'fantasy']",https://www.rottentomatoes.com/m/shazam
17,69%,Ford v Ferrari (2019),343,"['drama', 'biography', 'history']",https://www.rottentomatoes.com/m/ford_v_ferrari
18,89%,The Lighthouse (2019),379,"['drama', 'mysteryandthriller']",https://www.rottentomatoes.com/m/the_lighthouse_2019
19,100%,Dolemite Is My Name (2019),228,"['drama', 'biography', 'comedy']",https://www.rottentomatoes.com/m/dolemite_is_my_name
20,85%,Uncut Gems (2019),335,"['mysteryandthriller', 'comedy']",https://www.rottentomatoes.com/m/uncut_gems
21,93%,Apollo 11 (2019),183,"['drama', 'history', 'documentary']",https://www.rottentomatoes.com/m/apollo_11_2019
22,97%,Rocketman (2019),378,"['drama', 'gayandlesbian', 'biography', 'musical']",https://www.rottentomatoes.com/m/rocketman_2019
23,98%,Amazing Grace (2019),157,"['music', 'documentary']",https://www.rottentomatoes.com/m/amazing_grace_2018
24,94%,Ash Is Purest White (2019),152,"['drama', 'romance']",https://www.rottentomatoes.com/m/ash_is_purest_white
25,97%,They Shall Not Grow Old (2019),150,"['drama', 'documentary', 'war', 'history']",https://www.rottentomatoes.com/m/they_shall_not_grow_old
26,93%,Honeyland (2019),123,['documentary'],https://www.rottentomatoes.com/m/honeyland
27,97%,John Wick: Chapter 3 - Parabellum (2019),345,"['action', 'mysteryandthriller']",https://www.rottentomatoes.com/m/john_wick_chapter_3_parabellum
28,95%,The Peanut Butter Falcon (2019),213,"['drama', 'comedy', 'adventure']",https://www.rottentomatoes.com/m/the_peanut_butter_falcon
